id,day,month,year,hour,minute,seconds,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
1,17,12,2006,00,00,00,1.044,0.152,242.73,4.4,0,2,0
2,17,12,2006,00,01,00,1.52,0.22,242.2,7.4,0,1,0
3,17,12,2006,00,02,00,3.038,0.194,240.14,12.6,0,2,0
4,17,12,2006,00,03,00,2.974,0.194,239.97,12.4,0,1,0
5,17,12,2006,00,04,00,2.846,0.198,240.39,11.8,0,2,0
6,17,12,2006,00,05,00,2.848,0.198,240.59,11.8,0,1,0
7,17,12,2006,00,06,00,2.858,0.202,241.14,11.8,0,1,0
8,17,12,2006,00,07,00,2.472,0.208,241.62,10.8,0,2,0
9,17,12,2006,00,08,00,0.658,0.244,243.75,3,0,1,0
10,17,12,2006,00,09,00,0.838,0.334,242.09,4.8,0,2,0
11,17,12,2006,00,10,00,2.608,0.298,239.45,10.8,0,1,0
12,17,12,2006,00,11,00,2.598,0.296,239.44,10.8,0,1,0
13,17,12,2006,00,12,00,2.56,0.286,238.71,10.8,0,2,0
14,17,12,2006,00,13,00,2.526,0.278,236.95,10.6,0,1,0
15,17,12,2006,00,14,00,2.472,0.194,237.55,10.4,0,1,0
16,17,12,2006,00,15,00,1.658,0.166,238.48,8,0,1,0
17,17,12,2006,00,16,00,0.422,0.184,239.79,1.8,0,2,0
18,17,12,2006,00,17,00,0.79,0.178,239.47,4.6,0,1,0
19,17,12,2006,00,18,00,2.436,0.12,238.51,10.2,0,1,0
20,17,12,2006,00,19,00,2.396,0.056,239.03,10,0,1,0
21,17,12,2006,00,20,00,2.338,0,238.37,9.8,0,1,0
22,17,12,2006,00,21,00,2.304,0.062,238.38,9.6,0,0,0
23,17,12,2006,00,22,00,0.276,0,240.56,1.2,0,0,0
24,17,12,2006,00,23,00,0.712,0,239.84,4.6,0,0,0
25,17,12,2006,00,24,00,2.332,0.06,239.11,9.6,0,0,0
26,17,12,2006,00,25,00,2.344,0.058,239.99,9.6,0,0,0
27,17,12,2006,00,26,00,2.354,0.058,240.64,9.8,0,0,0
28,17,12,2006,00,27,00,2.332,0.06,239.45,9.6,0,0,0
29,17,12,2006,00,28,00,2.368,0.056,241.4,9.8,0,0,0
30,17,12,2006,00,29,00,0.612,0,243.68,4,0,0,0
31,17,12,2006,00,30,00,0.286,0,244.03,1.2,0,0,0
32,17,12,2006,00,31,00,1.952,0.05,242.07,8.8,0,0,0
33,17,12,2006,00,32,00,2.376,0.056,241.86,9.8,0,0,0
34,17,12,2006,00,33,00,2.374,0.056,241.7,9.8,0,0,0
35,17,12,2006,00,34,00,2.406,0,240,10,0,0,0
